stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,wheelchair_boarding
23042,23042,Court at College WB,,38.678837978145,-121.775220452996,0,1
23044,23044,Court at Walnut WB,,38.6788765170977,-121.777968584839,0,1
23040,23040,Court at Cleveland WB,,38.6788737338943,-121.779562224226,0,1
23502,23502,West at Park SB,,38.6731718229454,-121.78417859152,0,1
23583,23583,Cross at Dingle EB,,38.672015438796,-121.775961773155,0,1
23500,23500,College at Marshall SB,114,38.6677433799419,-121.774886299176,0,1
23057,23057,Gibson at Coloma,,38.6628184537555,-121.769269579875,0,1
23092,23092,Matmor at E. Gibson NB,Matmor at E. Gibson,38.6633128279522,-121.756411331852,0,1
23095,23095,Matmor at Gum NB,Matmor at Gum,38.6679561460849,-121.756211833428,0,1
23089,23089,Matmor at Oak NB,Matmor at Oak,38.6736679228396,-121.75614409484,0,1
23091,23091,Matmor at E. Main NB,Matmor at E. Main,38.6760922283234,-121.756101312574,0,1
23076,23076,Main at 5th WB,,38.6775065190859,-121.767991784424,0,1
23078,23078,Main at Cleveland WB,Main at Cleveland,38.6776039330019,-121.780141947799,0,1
23080,23080,W. Main at Community WB,W. Main at Community,38.6776720323162,-121.791449065385,0,1
23011,23011,Ashley at W. Lincoln SB,,38.6767356362905,-121.797997280746,0,1
23353,23353,Railroad at Main (Madison),,38.6788432386924,-121.968460882079,0,1
23354,23354,Yolo at Grafton (Esparto) NB,,38.6927599592818,-122.016622002392,0,1
23357,23357,Hwy 16 at Rd 85 (Capay) WB,,38.707234816996,-122.047641328714,0,1
23358,23358,Cache Creek Casino Resort,Cache Creek Casino,38.7358794943549,-122.142400683498,0,1
23526,23526,Hwy. 16 at Rd. 85 (Capay) EB,,38.7073384155704,-122.048612365701,0,1
23355,23355,Yolo at Grafton (Esparto) SB,,38.6929986101831,-122.016777566285,0,1
23293,23293,W. Lincoln at Rd 98 EB,,38.6752409123284,-121.801828991171,0,1
23012,23012,Ashley at W. Lincoln NB,Rite Aid,38.6767723367674,-121.797849941126,0,1
23081,23081,W. Main at Community EB,,38.677506519086,-121.791910635974,0,1
23079,23079,Main at Cleveland EB,Main at Cleveland,38.6774091050374,-121.780976201974,0,1
23568,23568,Main at Elm EB,,38.6774313711173,-121.776020589565,0,1
23077,23077,Main at 5th EB,,38.677345090019,-121.767435614973,0,1
23082,23082,E. Main at East,,38.677350092764,-121.764380540901,0,1
23085,23085,E. Main at Matmor,,38.6772471119693,-121.757845549862,0,1
23093,23093,Matmor at E. Gibson SB,Matmor at E. Gibson,38.6640409750033,-121.756512164682,0,1
23062,23062,E. Gibson at Washington WB,,38.6628875659442,-121.759496733105,0,1
23362,23362,E. Gibson at County Fair Mall WB,,38.662922995168,-121.761931777951,0,1
23306,23306,County Fair Mall,,38.6598918533261,-121.764814511825,0,1
23156,23156,W. Covell at Sycamore EB,,38.5607882476323,-121.76447118905,0,1
23128,23128,Anderson at Hanover SB,,38.5586437685652,-121.758639916588,0,1
23135,23135,Anderson at Villanova SB,,38.5560426362138,-121.758725481119,0,1
23125,23125,Anderson at Amherst SB,,38.5522163617994,-121.758746872252,0,1
23131,23131,Anderson at Sunset SB,,38.5490517736454,-121.758775393763,0,1
23129,23129,Anderson at Russell SB,,38.5471113468306,-121.758813988311,0,1
23359,23359,Russell at California EB,Russell at California,38.546166100139,-121.753808463258,0,1
23003,23003,UC Davis Memorial Union,,38.5439573850606,-121.749800845969,0,1
23209,23209,Russell at A St. EB,Russell at A St.,38.5461773171881,-121.747138739364,0,1
23000,23000,5th St. at D St. EB,Downtown Davis,38.5468959294757,-121.74310881006,0,1
22028,22028,5th St at G St.,,38.5474708214901,-121.739637460376,0,0
22076,22076,5th St & Pole Line Rd/D.M.V (EB),,38.548635907395,-121.727648178549,0,1
22075,22075,5th St & Post Office / Pole Line (EB),,38.5491660915896,-121.724517494746,0,1
22073,22073,5th St & Cantrill/Police Station  (EB),,38.5518148711052,-121.719077016663,0,1
22237,22237,5th St & Spafford St (EB),,38.5534700971301,-121.712484273422,0,1
22070,22070,5th St & Windmere Apts. (EB),,38.5546271382868,-121.709785425513,0,1
23111,23111,Alhambra at 5th St. EB,,38.557852814941,-121.704120340536,0,1
23113,23113,Alhambra at Arroyo,,38.5579236482336,-121.699980151652,0,1
23116,23116,Alhambra at Mace EB,,38.5586853956393,-121.696740042969,0,1
23202,23202,Mace at 2nd St. SB,,38.5577245712682,-121.694276854305,0,1
23279,23279,W. Capitol at Enterprise EB,W. Capitol at Enterprise,38.5752391778014,-121.576100392876,0,1
23321,23321,W. Capitol at Interstate EB,W. Capitol at Interstate,38.5767527888775,-121.571723990405,0,1
23323,23323,W. Capitol at Roadway EB,,38.578114255018,-121.567072375963,0,1
23325,23325,W. Capitol at Northport EB,W. Capitol at Northpoint,38.5783846049003,-121.562170241385,0,1
23288,23288,W. Capitol at Pine EB,W. Capitol at Pine,38.5787866535394,-121.555211642371,0,1
23283,23283,W. Capitol at Harbor EB,,38.5792207321167,-121.547663488222,0,1
23281,23281,W. Capitol at Glide EB,,38.5793778824629,-121.54509751408,0,1
23292,23292,W. Capitol at Walnut EB,,38.5796870934777,-121.539936753508,0,1
23291,23291,W. Capitol at Sycamore EB,,38.5798252272502,-121.53752276525,0,1
23290,23290,W. Capitol at Poplar EB,,38.580036111606,-121.533652314069,0,1
23333,23333,W. Capitol at Westacre EB,,38.5802095362445,-121.530934709309,0,1
23285,23285,W. Capitol at Jefferson EB,W. Capitol at Jefferson,38.5806413402104,-121.526215271865,0,1
23472,23472,W. Capitol at Merkley,,38.581496243566,-121.522534580382,0,1
23578,23578,Garden at W. Capitol SB,,38.581767410394,-121.518633786927,0,1
23576,23576,Tower Bridge Gtwy at Garden EB,,38.581142191955,-121.517669052939,0,1
23575,23575,Cabaldon Pkwy at Sutter Health Park EB,Tower Bridge Gtwy at Raley Field EB,38.581886505001,-121.513954193232,0,1
23412,23412,Capitol Mall at Front EB,Embassy Suites,38.580078150491,-121.50681307871,0,1
23387,23387,5th St. at L St.,,38.5791249904802,-121.501278125614,0,1
