service_id,date,exception_type
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20251119,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20251120,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20251121,1
714cca75-05b2-46c1-aa4b-c57452577450,20251122,1
3a9a9936-3d2b-4495-bb62-5cf59c5ab42e,20251123,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20251124,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20251125,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20251126,1
fd96b49d-9104-4f44-9629-9ffa7bb824b4,20251127,1
0408e410-f468-42bc-a589-5fed66b06cd1,20251128,1
714cca75-05b2-46c1-aa4b-c57452577450,20251129,1
3a9a9936-3d2b-4495-bb62-5cf59c5ab42e,20251130,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20251201,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20251202,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20251203,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20251204,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20251205,1
714cca75-05b2-46c1-aa4b-c57452577450,20251206,1
3a9a9936-3d2b-4495-bb62-5cf59c5ab42e,20251207,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20251208,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20251209,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20251210,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20251211,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20251212,1
714cca75-05b2-46c1-aa4b-c57452577450,20251213,1
3a9a9936-3d2b-4495-bb62-5cf59c5ab42e,20251214,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20251215,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20251216,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20251217,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20251218,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20251219,1
714cca75-05b2-46c1-aa4b-c57452577450,20251220,1
3a9a9936-3d2b-4495-bb62-5cf59c5ab42e,20251221,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20251222,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20251223,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20251224,1
fd96b49d-9104-4f44-9629-9ffa7bb824b4,20251225,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20251226,1
714cca75-05b2-46c1-aa4b-c57452577450,20251227,1
3a9a9936-3d2b-4495-bb62-5cf59c5ab42e,20251228,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20251229,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20251230,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20251231,1
fd96b49d-9104-4f44-9629-9ffa7bb824b4,20260101,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20260102,1
714cca75-05b2-46c1-aa4b-c57452577450,20260103,1
3a9a9936-3d2b-4495-bb62-5cf59c5ab42e,20260104,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20260105,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20260106,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20260107,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20260108,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20260109,1
714cca75-05b2-46c1-aa4b-c57452577450,20260110,1
3a9a9936-3d2b-4495-bb62-5cf59c5ab42e,20260111,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20260112,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20260113,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20260114,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20260115,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20260116,1
714cca75-05b2-46c1-aa4b-c57452577450,20260117,1
3a9a9936-3d2b-4495-bb62-5cf59c5ab42e,20260118,1
fd96b49d-9104-4f44-9629-9ffa7bb824b4,20260119,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20260120,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20260121,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20260122,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20260123,1
714cca75-05b2-46c1-aa4b-c57452577450,20260124,1
3a9a9936-3d2b-4495-bb62-5cf59c5ab42e,20260125,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20260126,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20260127,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20260128,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20260129,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20260130,1
714cca75-05b2-46c1-aa4b-c57452577450,20260131,1
3a9a9936-3d2b-4495-bb62-5cf59c5ab42e,20260201,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20260202,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20260203,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20260204,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20260205,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20260206,1
714cca75-05b2-46c1-aa4b-c57452577450,20260207,1
3a9a9936-3d2b-4495-bb62-5cf59c5ab42e,20260208,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20260209,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20260210,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20260211,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20260212,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20260213,1
714cca75-05b2-46c1-aa4b-c57452577450,20260214,1
3a9a9936-3d2b-4495-bb62-5cf59c5ab42e,20260215,1
fd96b49d-9104-4f44-9629-9ffa7bb824b4,20260216,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20260217,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20260218,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20260219,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20260220,1
714cca75-05b2-46c1-aa4b-c57452577450,20260221,1
3a9a9936-3d2b-4495-bb62-5cf59c5ab42e,20260222,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20260223,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20260224,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20260225,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20260226,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20260227,1
714cca75-05b2-46c1-aa4b-c57452577450,20260228,1
