shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
820cbb78-3a14-4bb2-bfa1-54952d001148,38.6885793070422,-121.793478641805,83,9053.01
194f3ae7-10e8-41a7-bce0-afdd9c374ca1,38.5752779989723,-121.767404484574,422,68490.03
015bd1c0-6b73-4bf2-b33d-12b22c508535,38.5753579932435,-121.558706216995,62,8539.45
7421ad0f-5741-4516-bb4e-18c0a63635f3,38.6686829606199,-121.730986194062,56,4874.22
0a4bed5e-7ebb-4f29-af0a-b15bd5c8036d,38.581142191955,-121.517669052939,75,25860.09
7421ad0f-5741-4516-bb4e-18c0a63635f3,38.6687509588348,-121.734130638916,85,6701.42
39baf46b-15be-4a08-9d1b-f1240a1ea1e3,38.6774771296504,-121.968774936137,81,22821.57
b8eb2819-9cb7-4c5a-bf61-d7191184be45,38.5800834904436,-121.51951329596,175,30081.71
015bd1c0-6b73-4bf2-b33d-12b22c508535,38.5427567977395,-121.732584039152,112,24162.87
a4337f0e-eeeb-42cc-8bfa-4a77439fa5b2,38.6778094391766,-121.830647163438,200,33030.5
b5914a76-7694-4355-b9d6-e3d85956967a,38.5756141588458,-121.532977761804,27,6365.08
4ed37423-f74f-4b42-b980-b88051f04cca,38.6712305665362,-121.548426306103,104,14834.52
d6ba0d8e-f57e-4bfe-ba1f-4075873ebb4b,38.5912293680394,-121.548916797665,41,3464.78
015bd1c0-6b73-4bf2-b33d-12b22c508535,38.5784538565206,-121.49558404284,22,2726.72
194f3ae7-10e8-41a7-bce0-afdd9c374ca1,38.5965058345617,-121.504176792982,186,36567.71
a6e9b69f-d8a2-4feb-bf49-27d96ff22e58,38.5710310830039,-121.596868266087,57,11890.48
906fd2f9-8368-4e42-9ea3-016bbd465ca4,38.5620419912263,-121.52815489794,53,7643.53
b8eb2819-9cb7-4c5a-bf61-d7191184be45,38.5474894176797,-121.775230441957,52,4128.92
ea9341a8-01bf-4186-a7a8-758422e591d7,38.6629104607847,-121.756466957478,48,8177.01
a4e2929e-9010-444c-98f9-88ee4335460a,38.5280478613405,-121.769178466152,24,3390.14
820cbb78-3a14-4bb2-bfa1-54952d001148,38.6860468905616,-121.793628379734,64,7259.95
d6ba0d8e-f57e-4bfe-ba1f-4075873ebb4b,38.5832717076598,-121.526054077972,12,781.49
015bd1c0-6b73-4bf2-b33d-12b22c508535,38.5464207787393,-121.76733749941,151,30111.12
d6ba0d8e-f57e-4bfe-ba1f-4075873ebb4b,38.581886505001,-121.513954193232,205,13036.33
7421ad0f-5741-4516-bb4e-18c0a63635f3,38.6684717786371,-121.741154035521,95,7454.67
6fb32afd-cbc2-479b-beb0-7b99ef52c887,38.6058277763573,-121.767195703333,39,6685.81
b8eb2819-9cb7-4c5a-bf61-d7191184be45,38.5754238108111,-121.565795061913,160,25928.22
015bd1c0-6b73-4bf2-b33d-12b22c508535,38.5504749206606,-121.776330993964,170,31299.47
194f3ae7-10e8-41a7-bce0-afdd9c374ca1,38.6772471119693,-121.757845549862,19,2950.51
a4337f0e-eeeb-42cc-8bfa-4a77439fa5b2,38.6816159180809,-121.967180184727,155,20766.23
a4337f0e-eeeb-42cc-8bfa-4a77439fa5b2,38.6774091050374,-121.780976201974,225,37794.33
f07c2a42-2cb6-44ec-83c2-ff18b4b030e4,38.526021452309,-121.764271364467,72,32111.96
7421ad0f-5741-4516-bb4e-18c0a63635f3,38.6687831684939,-121.728176362146,75,6106.21
b8eb2819-9cb7-4c5a-bf61-d7191184be45,38.581886505001,-121.513954193232,181,30622.02
6fb32afd-cbc2-479b-beb0-7b99ef52c887,38.6728892850468,-121.590659253807,321,56149.98
820cbb78-3a14-4bb2-bfa1-54952d001148,38.6765926715347,-121.802512830186,41,5434.78
a6e9b69f-d8a2-4feb-bf49-27d96ff22e58,38.5739796145109,-121.496160589879,15,2120.84
ea9341a8-01bf-4186-a7a8-758422e591d7,38.6679561460849,-121.756211833428,56,8740.19
e2c8a1b8-f409-48e9-8fd9-057d4ba1510c,38.5855883554434,-121.564994283467,48,6487.3
906fd2f9-8368-4e42-9ea3-016bbd465ca4,38.5816893626266,-121.517013252796,130,17366.07
194f3ae7-10e8-41a7-bce0-afdd9c374ca1,38.6407912110276,-121.757931396108,450,75941.26
4ed37423-f74f-4b42-b980-b88051f04cca,38.6805824149002,-121.793197649312,202,39728.85
